xmin,ymin,xmax,ymax,confidence,class,name,image_file
356.63092041015625,128.4393310546875,544.2200317382812,675.0327758789062,0.9292399883270264,0,person,photo_2024-11-19_10-26-24 (3).jpg
565.6321411132812,238.19210815429688,679.9536743164062,542.3121337890625,0.8939369916915894,0,person,photo_2024-11-19_10-26-24 (3).jpg
1146.2567138671875,184.41778564453125,1278.6134033203125,499.2193603515625,0.8868544697761536,0,person,photo_2024-11-19_10-26-24 (3).jpg
287.7364501953125,244.70562744140625,385.435302734375,556.6803588867188,0.8861064314842224,0,person,photo_2024-11-19_10-26-24 (3).jpg
948.6776123046875,186.1420440673828,1114.6163330078125,645.8077392578125,0.8836768269538879,0,person,photo_2024-11-19_10-26-24 (3).jpg
375.8319396972656,424.1767578125,400.5876770019531,449.28759765625,0.35951751470565796,65,remote,photo_2024-11-19_10-26-24 (3).jpg
691.3080444335938,500.59423828125,772.1978149414062,538.230224609375,0.3158375322818756,73,book,photo_2024-11-19_10-26-24 (3).jpg
994.5830078125,361.2467041015625,1035.3427734375,395.93170166015625,0.27882662415504456,65,remote,photo_2024-11-19_10-26-24 (3).jpg
971.26611328125,220.1036376953125,1007.427490234375,255.34527587890625,0.2594314217567444,74,clock,photo_2024-11-19_10-26-24 (3).jpg
1146.7529296875,227.3628692626953,1278.970947265625,719.1552124023438,0.8716605305671692,0,person,photo_2024-11-19_10-26-51 (1).jpg
1029.580810546875,223.45960998535156,1177.683837890625,703.7066650390625,0.8090343475341797,0,person,photo_2024-11-19_10-26-51 (1).jpg
714.4000244140625,367.48388671875,872.3145751953125,718.9786376953125,0.7573670744895935,56,chair,photo_2024-11-19_10-26-51 (1).jpg
864.9497680664062,429.13623046875,1026.41015625,714.7373046875,0.7304919362068176,56,chair,photo_2024-11-19_10-26-51 (1).jpg
295.20452880859375,255.60797119140625,393.15478515625,506.9354248046875,0.3843919634819031,0,person,photo_2024-11-19_10-26-51 (1).jpg
1070.3033447265625,291.06695556640625,1116.3665771484375,372.69061279296875,0.2988150417804718,27,tie,photo_2024-11-19_10-26-51 (1).jpg
463.024658203125,540.826416015625,502.3558044433594,583.6949462890625,0.5932242274284363,0,person,photo_2024-11-19_10-31-47.jpg
586.6923217773438,533.1366577148438,620.48828125,583.343994140625,0.557837188243866,0,person,photo_2024-11-19_10-31-47.jpg
335.5527648925781,526.7732543945312,382.2287292480469,583.43505859375,0.40089595317840576,0,person,photo_2024-11-19_10-31-47.jpg
557.1909790039062,529.6934204101562,588.7040405273438,582.4111328125,0.386884868144989,0,person,photo_2024-11-19_10-31-47.jpg
520.2681884765625,547.4708251953125,555.7144775390625,584.0,0.35103386640548706,0,person,photo_2024-11-19_10-31-47.jpg
430.32769775390625,542.484375,465.7120666503906,583.6553344726562,0.32268038392066956,0,person,photo_2024-11-19_10-31-47.jpg
655.1835327148438,240.34312438964844,692.204833984375,256.7848815917969,0.29492703080177307,25,umbrella,photo_2024-11-19_10-31-47.jpg
385.0733642578125,522.7467041015625,425.00909423828125,583.3729858398438,0.2863740026950836,0,person,photo_2024-11-19_10-31-47.jpg
38.58761215209961,548.9551391601562,68.152099609375,583.4331665039062,0.28404536843299866,0,person,photo_2024-11-19_10-31-47.jpg
0.08170652389526367,525.7733154296875,16.106731414794922,582.2479248046875,0.26781636476516724,0,person,photo_2024-11-19_10-31-47.jpg
609.5233764648438,525.5740356445312,640.6402587890625,581.4642944335938,0.25337034463882446,0,person,photo_2024-11-19_10-31-47.jpg
